imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1535430,7.1,36,10,47,49,23,13,6,4,0,11
tt1535432,5.5,83,37,97,125,202,210,133,67,52,73
tt1535438,6.4,1780,1754,5009,11190,11271,5121,1974,894,483,661
tt1535464,6.3,5,2,18,38,24,12,5,6,2,3
tt1535465,6.7,15,6,16,27,28,17,5,2,1,4
tt1535467,6.8,1797,886,921,1120,1266,1096,571,318,192,388
tt1535472,6.4,53,36,100,201,195,117,46,25,15,17
tt1535475,5.9,15,5,6,23,36,16,9,9,10,5
tt1535476,6.6,15,10,33,61,36,19,10,7,3,4
tt1535490,6.4,12,10,34,78,56,33,13,7,4,5
tt1535491,7.0,251,237,767,1233,646,200,62,41,13,73
tt1535492,6.9,114,108,313,653,385,146,61,16,14,20
tt1535495,6.4,95,32,162,357,398,187,67,27,9,32
tt1535511,6.5,20,15,40,64,61,34,17,6,6,6
tt1535566,5.3,77,47,102,223,294,339,219,134,85,90
tt1535568,6.6,37,6,13,18,26,17,9,2,2,14
tt1535569,7.2,24,26,20,21,14,15,0,0,0,13
tt1535606,6.0,180,16,40,24,31,46,54,47,43,85
tt1535612,5.3,784,214,739,1835,3685,4188,2289,1198,640,730
tt1535616,5.9,2207,1703,3910,6470,7300,5213,3090,1805,1268,1965
tt1535617,4.9,93,42,77,119,185,223,186,145,124,131
tt1535962,4.3,37,3,5,7,17,13,26,23,36,54
tt1535970,6.7,1699,1271,3050,4940,3747,1701,771,483,293,525
tt1535975,6.3,87,39,14,20,35,34,20,32,26,25
tt1536044,5.8,5049,3505,8760,17138,23278,17202,8711,4883,3331,5348
tt1536048,6.6,1867,860,1739,2325,1987,1135,645,390,282,704
tt1536051,4.8,62,13,31,42,72,93,125,72,51,81
tt1536053,5.9,53,12,28,53,47,52,33,24,15,28
tt1536054,5.1,59,3,11,27,44,78,70,41,31,40
tt1536374,6.2,80,62,111,127,153,132,65,36,28,45
tt1536410,6.0,1207,592,1536,3137,4764,3556,1726,834,433,451
